Date,Temp,Turb,EC,pH,Colour,Bicarbonate,Silica,TKN,Sol_react_P,Flow,Cyano
1985/6/1,13,32,512,7.8,12,204,16.7,0.68,0.26,230,32018.4
1985/6/2,13,32,512,7.8,12,204,16.7,0.68,0.26,234,19029.6
1985/6/3,13,32,512,7.8,12,204,16.7,0.68,0.26,238,6048
1985/6/4,12,30,525,7.8,11,204,14.1,0.76,0.21,246,5292
1985/6/5,12,30,525,7.8,11,204,14.1,0.76,0.21,246,4536
1985/6/6,12,30,525,7.8,11,204,14.1,0.76,0.21,246,3780
1985/6/7,12,30,525,7.8,11,204,14.1,0.76,0.21,252,3024
1985/6/8,12,30,525,7.8,11,204,14.1,0.76,0.21,256,2268
1985/6/9,12,30,525,7.8,11,204,14.1,0.76,0.21,259,1512
1985/6/10,12,30,525,7.8,11,204,14.1,0.76,0.21,259,756
1985/6/11,12,30,525,7.8,11,204,14.1,0.76,0.21,259,0
1985/6/12,11,28,540,8,11,204,15.5,0.75,0.26,259,26589.6
1985/6/13,11,28,540,8,11,204,15.5,0.75,0.26,253,53179.2
1985/6/14,11,28,540,8,11,204,15.5,0.75,0.26,247,79768.8
1985/6/15,11,28,540,8,11,204,15.5,0.75,0.26,241,106351.2
1985/6/16,11,28,540,8,11,204,15.5,0.75,0.26,241,132940.8
1985/6/17,11,28,540,8,11,204,15.5,0.75,0.26,238,159530.4
1985/6/18,11,28,540,8,11,204,15.5,0.75,0.26,235,186120
1985/6/19,13,25,511,7.6,11,204,15.4,0.69,0.18,235,162453.6
1985/6/20,13,25,511,7.6,11,204,15.4,0.69,0.18,230,138787.2
1985/6/21,11,18,500,8,11,204,15.4,0.69,0.18,229,115120.8
1985/6/22,11,18,500,8,11,204,15.4,0.69,0.18,226,91447.2
1985/6/23,11,18,500,8,11,204,15.4,0.69,0.18,224,67780.8
1985/6/24,11,18,500,8,11,204,15.4,0.69,0.18,224,44114.4
1985/6/25,11,18,500,8,11,204,15.4,0.69,0.18,218,20448
1985/6/26,10,19,520,8,10,200,15.7,0.85,0.17,212,17524.8
1985/6/27,10,19,520,8,10,200,15.7,0.85,0.17,212,14608.8
1985/6/28,10,19,520,8,10,200,15.7,0.85,0.17,212,11685.6
1985/6/29,10,19,520,8,10,200,15.7,0.85,0.17,213,8762.4
1985/6/30,10,19,520,8,10,200,15.7,0.85,0.17,210,5839.2
1985/7/1,10,19,520,8,10,200,15.7,0.85,0.17,204,2923.2
1985/7/2,10,19,520,8,10,200,15.7,0.85,0.17,196,0
1985/7/3,9.5,20,540,8.2,10,200,15,0.67,0.11,186,0
1985/7/4,9.5,20,540,8.2,10,200,15,0.67,0.11,179,0
1985/7/5,9.5,20,540,8.2,10,200,15,0.67,0.11,172,0
1985/7/6,9.5,20,540,8.2,10,200,15,0.67,0.11,167,0
1985/7/7,9.5,20,540,8.2,10,200,15,0.67,0.11,160,0
1985/7/8,9.5,20,540,8.2,10,200,15,0.67,0.11,153,0
1985/7/9,9.5,20,540,8.2,10,200,15,0.67,0.11,153,0
1985/7/10,9,20,489,8.2,10,200,15.6,0.72,0.11,146,0
1985/7/11,9,20,489,8.2,10,200,15.6,0.72,0.11,146,0
1985/7/12,9,20,489,8.2,10,200,15.6,0.72,0.11,148,0
1985/7/13,9,20,489,8.2,10,200,15.6,0.72,0.11,148,0
1985/7/14,9,20,489,8.2,10,200,15.6,0.72,0.11,148,0
1985/7/15,9,20,489,8.2,10,200,15.6,0.72,0.11,143,0
1985/7/16,9,20,489,8.2,10,200,15.6,0.72,0.11,143,0
1985/7/17,9.5,28,518,8.1,10,200,15.2,0.58,0.13,140,0
1985/7/18,9.5,28,518,8.1,10,200,15.2,0.58,0.13,137,0
1985/7/19,9.5,28,518,8.1,10,200,15.2,0.58,0.13,137,0
1985/7/20,9.5,28,518,8.1,10,200,15.2,0.58,0.13,138,0
1985/7/21,9.5,28,518,8.1,10,200,15.2,0.58,0.13,138,0
1985/7/22,9.5,28,518,8.1,10,200,15.2,0.58,0.13,138,0
1985/7/23,9.5,28,518,8.1,10,200,15.2,0.58,0.13,142,0
1985/7/24,10.5,27,520,8.2,8,38,13.9,0.67,0.19,152,0
1985/7/25,10.5,27,520,8.2,8,38,13.9,0.67,0.19,155,0
1985/7/26,10.5,27,520,8.2,8,38,13.9,0.67,0.19,156,0
1985/7/27,10.5,27,520,8.2,8,38,13.9,0.67,0.19,153,0
1985/7/28,10.5,27,520,8.2,8,38,13.9,0.67,0.19,150,0
1985/7/29,10.5,27,520,8.2,8,38,13.9,0.67,0.19,150,0
1985/7/30,10.5,27,520,8.2,8,38,13.9,0.67,0.19,150,0
1985/8/1,12,35,525,7.8,8,38,14,0.35,0.16,150,0
1985/8/2,12,35,525,7.8,8,38,14,0.35,0.16,151,0
1985/8/3,12,35,525,7.8,8,38,14,0.35,0.16,151,0
1985/8/4,12,35,525,7.8,8,38,14,0.35,0.16,151,0
1985/8/5,12,35,525,7.8,8,38,14,0.35,0.16,157,0
1985/8/6,12,35,525,7.8,8,38,14,0.35,0.16,163,0
1985/8/7,12,40,525,7.8,8,38,13.8,0.67,0.17,166,0
1985/8/8,12,40,525,7.8,8,38,13.8,0.67,0.17,166,0
1985/8/9,12,40,525,7.8,8,38,13.8,0.67,0.17,166,0
1985/8/10,12,40,525,7.8,8,38,13.8,0.67,0.17,167,0
1985/8/11,12,40,525,7.8,8,38,13.8,0.67,0.17,167,0
1985/8/12,12,40,525,7.8,8,38,13.8,0.67,0.17,161,0
1985/8/13,12,40,525,7.8,8,38,13.8,0.67,0.17,160,0
1985/8/14,13,45,599,7.9,8,38,0.5,0.53,0.01,155,1462.6
1985/8/15,13,45,599,7.9,8,38,0.5,0.53,0.01,153,2925.2
1985/8/16,13,45,599,7.9,8,38,0.5,0.53,0.01,149,4387.8
1985/8/17,13,45,599,7.9,8,38,0.5,0.53,0.01,150,5836.2
1985/8/18,13,45,599,7.9,8,38,0.5,0.53,0.01,150,7298.8
1985/8/19,13,45,599,7.9,8,38,0.5,0.53,0.01,150,8761.4
1985/8/20,13,45,599,7.9,8,38,0.5,0.53,0.01,149,10224
1985/8/21,14,40,520,7.9,8,213,13.7,0.53,0.18,144,8761.4
1985/8/22,14,40,520,7.9,8,213,13.7,0.53,0.18,148,7298.8
1985/8/23,14,40,520,7.9,8,213,13.7,0.53,0.18,151,5836.2
1985/8/24,14,40,520,7.9,8,213,13.7,0.53,0.18,156,4387.8
1985/8/25,14,40,520,7.9,8,213,13.7,0.53,0.18,156,2925.2
1985/8/26,14,40,520,7.9,8,213,13.7,0.53,0.18,157,1462.6
1985/8/27,14,40,520,7.9,8,213,13.7,0.53,0.18,154,0
1985/8/28,13,35,539,7.9,8,213,13.8,0.31,0.17,151,43581.6
1985/8/29,13,35,539,7.9,8,213,13.8,0.31,0.17,151,87170.4
1985/8/30,13,35,539,7.9,8,213,13.8,0.31,0.17,151,130752
1985/9/1,13,35,539,7.9,8,213,13.8,0.31,0.17,147,174333.6
1985/9/2,13,35,539,7.9,8,213,13.8,0.31,0.17,146,217922.4
1985/9/3,13,35,539,7.9,8,213,13.8,0.31,0.17,146,261504
1985/9/4,14,30,523,7.9,8,213,13.6,0.58,0.19,146,355845.6
1985/9/5,14,30,523,7.9,8,213,13.6,0.58,0.19,146,450187.2
1985/9/6,14,30,523,7.9,8,213,13.6,0.58,0.19,143,544528.8
1985/9/7,14,30,523,7.9,8,213,13.6,0.58,0.19,139,638863.2
1985/9/8,14,30,523,7.9,8,213,13.6,0.58,0.19,135,733204.8
1985/9/9,14,30,523,7.9,8,213,13.6,0.58,0.19,134,827546.4
1985/9/10,14,30,523,7.9,8,213,13.6,0.58,0.19,134,921888
1985/9/11,16,37,530,7.8,8,213,13.9,0.66,0.02,136,888847.2
1985/9/12,16,37,530,7.8,8,213,13.9,0.66,0.02,136,855813.6
1985/9/13,16,37,530,7.8,8,213,13.9,0.66,0.02,136,822772.8
1985/9/14,16,37,530,7.8,8,213,13.9,0.66,0.02,136,789739.2
1985/9/15,16,37,530,7.8,8,213,13.9,0.66,0.02,136,756698.4
1985/9/16,16,37,530,7.8,8,213,13.9,0.66,0.02,136,723664.8
1985/9/17,16,37,530,7.8,8,213,13.9,0.66,0.02,136,690624
1985/9/18,16.5,34,539,7.9,8,215,14.7,0.64,0.23,137,687909.6
1985/9/19,16.5,34,539,7.9,8,215,14.7,0.64,0.23,133,685195.2
1985/9/20,16.5,34,539,7.9,8,215,14.7,0.64,0.23,132,682480.8
1985/9/21,16.5,34,539,7.9,8,215,14.7,0.64,0.23,132,679759.2
1985/9/22,16.5,34,539,7.9,8,215,14.7,0.64,0.23,132,677044.8
1985/9/23,16.5,34,539,7.9,8,215,14.7,0.64,0.23,132,674330.4
1985/9/24,16.5,34,539,7.9,8,215,14.7,0.64,0.23,131,671616
1985/9/25,17,30,548,8,8,215,15.9,0.62,0.19,125,584827.2
1985/9/26,17,30,548,8,8,215,15.9,0.62,0.19,122,498031.2
1985/9/27,17,30,548,8,8,215,15.9,0.62,0.19,122,411242.4
1985/9/28,17,30,548,8,8,215,15.9,0.62,0.19,122,324453.6
1985/9/29,17,30,548,8,8,215,15.9,0.62,0.19,122,237664.8
1985/9/30,17,30,548,8,8,215,15.9,0.62,0.19,123,150868.8
1985/10/1,17,30,548,8,8,215,15.9,0.62,0.19,120,64080
1985/10/2,19,40,540,7.8,8,215,16.2,0.84,0.17,118,54928.8
1985/10/3,19,40,540,7.8,8,215,16.2,0.84,0.17,114,45770.4
1985/10/4,19,40,540,7.8,8,215,16.2,0.84,0.17,114,36619.2
1985/10/5,19,40,540,7.8,8,215,16.2,0.84,0.17,116,27460.8
1985/10/6,19,40,540,7.8,8,215,16.2,0.84,0.17,119,18309.6
1985/10/7,19,40,540,7.8,8,215,16.2,0.84,0.17,122,9151.2
1985/10/8,19,40,540,7.8,8,215,16.2,0.84,0.17,129,0
1985/10/9,19,47,530,7.6,8,215,16.5,0.6,0.23,131,0
1985/10/10,19,47,530,7.6,8,215,16.5,0.6,0.23,131,0
1985/10/11,19,47,530,7.6,8,215,16.5,0.6,0.23,137,0
1985/10/12,19,47,530,7.6,8,215,16.5,0.6,0.23,142,0
1985/10/13,19,47,530,7.6,8,215,16.5,0.6,0.23,142,0
1985/10/14,19,47,530,7.6,8,215,16.5,0.6,0.23,142,0
1985/10/15,19,47,530,7.6,8,215,16.5,0.6,0.23,147,0
1985/10/16,19.5,50,510,7.8,11,225,19.2,1.04,0.27,151,0
1985/10/17,19.5,50,510,7.8,11,225,19.2,1.04,0.27,163,0
1985/10/18,19.5,50,510,7.8,11,225,19.2,1.04,0.27,164,0
1985/10/19,19.5,50,510,7.8,11,225,19.2,1.04,0.27,164,0
1985/10/20,19.5,50,510,7.8,11,225,19.2,1.04,0.27,164,0
1985/10/21,19.5,50,510,7.8,11,225,19.2,1.04,0.27,169,0
1985/10/22,19.5,50,510,7.8,11,225,19.2,1.04,0.27,173,0
1985/10/23,20,55,510,7.9,11,225,19.1,1.15,0.27,176,0
1985/10/24,20,55,510,7.9,11,225,19.1,1.15,0.27,182,0
1985/10/25,20,55,510,7.9,11,225,19.1,1.15,0.27,164,0
1985/10/26,20,55,510,7.9,11,225,19.1,1.15,0.27,164,0
1985/10/27,20,55,510,7.9,11,225,19.1,1.15,0.27,165,0
1985/10/28,20,55,510,7.9,11,225,19.1,1.15,0.27,162,0
1985/10/29,20,55,510,7.9,11,225,19.1,1.15,0.27,155,0
1985/10/30,22,79,510,7.8,11,225,20.8,0.51,0.31,149,0
1985/11/1,22,79,510,7.8,11,225,20.8,0.51,0.31,149,0
1985/11/2,22,79,510,7.8,11,225,20.8,0.51,0.31,149,0
1985/11/3,22,79,510,7.8,11,225,20.8,0.51,0.31,149,0
1985/11/4,22,79,510,7.8,11,225,20.8,0.51,0.31,150,0
1985/11/5,24,54,515,7.9,11,225,18.5,0.58,0.4,154,0
1985/11/6,24,54,515,7.9,11,225,18.5,0.58,0.4,165,0
1985/11/7,24,54,515,7.9,11,225,18.5,0.58,0.4,160,0
