Date,Temp,EC,pH,Bicarbonate,TKN,Cyano
1985/6/1,13,512,7.8,204,0.68,32018.4
1985/6/2,13,512,7.8,204,0.68,19029.6
1985/6/3,13,512,7.8,204,0.68,6048
1985/6/4,12,525,7.8,204,0.76,5292
1985/6/5,12,525,7.8,204,0.76,4536
1985/6/6,12,525,7.8,204,0.76,3780
1985/6/7,12,525,7.8,204,0.76,3024
1985/6/8,12,525,7.8,204,0.76,2268
1985/6/9,12,525,7.8,204,0.76,1512
1985/6/10,12,525,7.8,204,0.76,756
1985/6/11,12,525,7.8,204,0.76,0
1985/6/12,11,540,8,204,0.75,26589.6
1985/6/13,11,540,8,204,0.75,53179.2
1985/6/14,11,540,8,204,0.75,79768.8
1985/6/15,11,540,8,204,0.75,106351.2
1985/6/16,11,540,8,204,0.75,132940.8
1985/6/17,11,540,8,204,0.75,159530.4
1985/6/18,11,540,8,204,0.75,186120
1985/6/19,13,511,7.6,204,0.69,162453.6
1985/6/20,13,511,7.6,204,0.69,138787.2
1985/6/21,11,500,8,204,0.69,115120.8
1985/6/22,11,500,8,204,0.69,91447.2
1985/6/23,11,500,8,204,0.69,67780.8
1985/6/24,11,500,8,204,0.69,44114.4
1985/6/25,11,500,8,204,0.69,20448
1985/6/26,10,520,8,200,0.85,17524.8
1985/6/27,10,520,8,200,0.85,14608.8
1985/6/28,10,520,8,200,0.85,11685.6
1985/6/29,10,520,8,200,0.85,8762.4
1985/6/30,10,520,8,200,0.85,5839.2
1985/7/1,10,520,8,200,0.85,2923.2
1985/7/2,10,520,8,200,0.85,0
1985/7/3,9.5,540,8.2,200,0.67,0
1985/7/4,9.5,540,8.2,200,0.67,0
1985/7/5,9.5,540,8.2,200,0.67,0
1985/7/6,9.5,540,8.2,200,0.67,0
1985/7/7,9.5,540,8.2,200,0.67,0
1985/7/8,9.5,540,8.2,200,0.67,0
1985/7/9,9.5,540,8.2,200,0.67,0
1985/7/10,9,489,8.2,200,0.72,0
1985/7/11,9,489,8.2,200,0.72,0
1985/7/12,9,489,8.2,200,0.72,0
1985/7/13,9,489,8.2,200,0.72,0
1985/7/14,9,489,8.2,200,0.72,0
1985/7/15,9,489,8.2,200,0.72,0
1985/7/16,9,489,8.2,200,0.72,0
1985/7/17,9.5,518,8.1,200,0.58,0
1985/7/18,9.5,518,8.1,200,0.58,0
1985/7/19,9.5,518,8.1,200,0.58,0
1985/7/20,9.5,518,8.1,200,0.58,0
1985/7/21,9.5,518,8.1,200,0.58,0
1985/7/22,9.5,518,8.1,200,0.58,0
1985/7/23,9.5,518,8.1,200,0.58,0
1985/7/24,10.5,520,8.2,38,0.67,0
1985/7/25,10.5,520,8.2,38,0.67,0
1985/7/26,10.5,520,8.2,38,0.67,0
1985/7/27,10.5,520,8.2,38,0.67,0
1985/7/28,10.5,520,8.2,38,0.67,0
1985/7/29,10.5,520,8.2,38,0.67,0
1985/7/30,10.5,520,8.2,38,0.67,0
1985/8/1,12,525,7.8,38,0.35,0
1985/8/2,12,525,7.8,38,0.35,0
1985/8/3,12,525,7.8,38,0.35,0
1985/8/4,12,525,7.8,38,0.35,0
1985/8/5,12,525,7.8,38,0.35,0
1985/8/6,12,525,7.8,38,0.35,0
1985/8/7,12,525,7.8,38,0.67,0
1985/8/8,12,525,7.8,38,0.67,0
1985/8/9,12,525,7.8,38,0.67,0
1985/8/10,12,525,7.8,38,0.67,0
1985/8/11,12,525,7.8,38,0.67,0
1985/8/12,12,525,7.8,38,0.67,0
1985/8/13,12,525,7.8,38,0.67,0
1985/8/14,13,599,7.9,38,0.53,1462.6
1985/8/15,13,599,7.9,38,0.53,2925.2
1985/8/16,13,599,7.9,38,0.53,4387.8
1985/8/17,13,599,7.9,38,0.53,5836.2
1985/8/18,13,599,7.9,38,0.53,7298.8
1985/8/19,13,599,7.9,38,0.53,8761.4
1985/8/20,13,599,7.9,38,0.53,10224
1985/8/21,14,520,7.9,213,0.53,8761.4
1985/8/22,14,520,7.9,213,0.53,7298.8
1985/8/23,14,520,7.9,213,0.53,5836.2
1985/8/24,14,520,7.9,213,0.53,4387.8
1985/8/25,14,520,7.9,213,0.53,2925.2
1985/8/26,14,520,7.9,213,0.53,1462.6
1985/8/27,14,520,7.9,213,0.53,0
1985/8/28,13,539,7.9,213,0.31,43581.6
1985/8/29,13,539,7.9,213,0.31,87170.4
1985/8/30,13,539,7.9,213,0.31,130752
1985/9/1,13,539,7.9,213,0.31,174333.6
1985/9/2,13,539,7.9,213,0.31,217922.4
1985/9/3,13,539,7.9,213,0.31,261504
1985/9/4,14,523,7.9,213,0.58,355845.6
1985/9/5,14,523,7.9,213,0.58,450187.2
1985/9/6,14,523,7.9,213,0.58,544528.8
1985/9/7,14,523,7.9,213,0.58,638863.2
1985/9/8,14,523,7.9,213,0.58,733204.8
1985/9/9,14,523,7.9,213,0.58,827546.4
1985/9/10,14,523,7.9,213,0.58,921888
1985/9/11,16,530,7.8,213,0.66,888847.2
1985/9/12,16,530,7.8,213,0.66,855813.6
1985/9/13,16,530,7.8,213,0.66,822772.8
1985/9/14,16,530,7.8,213,0.66,789739.2
1985/9/15,16,530,7.8,213,0.66,756698.4
1985/9/16,16,530,7.8,213,0.66,723664.8
1985/9/17,16,530,7.8,213,0.66,690624
1985/9/18,16.5,539,7.9,215,0.64,687909.6
1985/9/19,16.5,539,7.9,215,0.64,685195.2
1985/9/20,16.5,539,7.9,215,0.64,682480.8
